Image_Name,Polygon_ID,OSM_ID,Centroid_X,Centroid_Y,Centroid_Longitude,Centroid_Latitude,Area_Pixels,Area_Meters
Atlanta_03,1,28507351,-4515799.3614,2747092.4754,-84.2933,33.7741,98903,2296.999
Atlanta_03,2,43304577,-4515799.3632,2747092.4688,-84.2936,33.7751,9822,670.3669
Atlanta_03,3,44909272,-4515799.3594,2747092.4627,-84.293,33.776,101555,2359.3941
Atlanta_03,4,51278141,-4515799.3607,2747092.4774,-84.2932,33.7738,1716,40.1787
Atlanta_03,5,51278144,-4515799.3524,2747092.4775,-84.2919,33.7738,10083,234.475
Atlanta_03,6,51278151,-4515799.3029,2747092.4561,-84.2844,33.777,7471,173.4541
Atlanta_03,7,51278153,-4515799.3439,2747092.4558,-84.2906,33.7771,7012,162.9458
Atlanta_03,8,51278167,-4515799.3268,2747092.4677,-84.288,33.7753,8218,190.6295
Atlanta_03,9,51278169,-4515799.3118,2747092.4675,-84.2857,33.7753,2911,67.7422
Atlanta_03,10,51278171,-4515799.3237,2747092.4671,-84.2876,33.7753,3089,71.8396
Atlanta_03,11,51278172,-4515799.3458,2747092.4672,-84.2909,33.7753,8310,194.3258
Atlanta_03,12,51278173,-4515799.3404,2747092.4674,-84.2901,33.7753,25241,587.7249
Atlanta_03,13,51278179,-4515799.3071,2747092.4663,-84.285,33.7755,9243,214.5164
Atlanta_03,14,51278182,-4515799.321,2747092.466,-84.2872,33.7755,5968,138.8532
Atlanta_03,15,51278189,-4515799.313,2747092.4647,-84.2859,33.7757,9281,215.5341
Atlanta_03,16,51278198,-4515799.3078,2747092.4638,-84.2851,33.7759,8370,194.4217
Atlanta_03,17,51278202,-4515799.3061,2747092.4634,-84.2849,33.7759,9830,229.181
Atlanta_03,18,51278204,-4515799.3432,2747092.4632,-84.2905,33.7759,2273,52.8841
Atlanta_03,19,51278206,-4515799.299,2747092.463,-84.2838,33.776,2774,63.5806
Atlanta_03,20,51278208,-4515799.3469,2747092.4627,-84.2911,33.776,1725,40.6334
Atlanta_03,21,51279603,-4515799.3218,2747092.4798,-84.2873,33.7734,6690,155.5018
Atlanta_03,22,51279609,-4515799.3266,2747092.4794,-84.288,33.7735,7732,179.5257
Atlanta_03,23,51279610,-4515799.3557,2747092.479,-84.2924,33.7735,8135,188.9044
Atlanta_03,24,51279611,-4515799.3537,2747092.4791,-84.2921,33.7735,5464,125.9151
Atlanta_03,25,51279612,-4515799.3587,2747092.479,-84.2929,33.7735,9264,215.5049
Atlanta_03,26,51279617,-4515799.3211,2747092.4773,-84.2872,33.7738,7517,174.6769
Atlanta_03,27,51279621,-4515799.347,2747092.4772,-84.2911,33.7738,4527,105.0426
Atlanta_03,28,51279622,-4515799.3593,2747092.477,-84.293,33.7738,3863,89.5812
Atlanta_03,29,51279628,-4515799.3392,2747092.4767,-84.2899,33.7739,1898,44.083
Atlanta_03,30,51279632,-4515799.2998,2747092.4779,-84.2839,33.7737,57284,1326.8136
Atlanta_03,31,51279633,-4515799.3178,2747092.4765,-84.2867,33.7739,5176,120.3896
Atlanta_03,32,51280168,-4515799.3121,2747092.4876,-84.2858,33.7722,16868,392.4302
Atlanta_03,33,51280454,-4515799.3438,2747092.4622,-84.2906,33.7761,6506,151.4777
Atlanta_03,34,51280459,-4515799.3209,2747092.4602,-84.2871,33.7764,1569,36.4907
Atlanta_03,35,51280462,-4515799.3087,2747092.4604,-84.2853,33.7764,9908,230.503
Atlanta_03,36,51280466,-4515799.2995,2747092.4592,-84.2839,33.7765,868,20.0028
Atlanta_03,37,51281956,-4515799.3391,2747092.4746,-84.2899,33.7742,3049,70.8125
Atlanta_03,38,51281957,-4515799.3111,2747092.4733,-84.2857,33.7744,3162,73.1778
Atlanta_03,39,51281966,-4515799.326,2747092.4705,-84.2879,33.7748,8688,201.7419
Atlanta_03,40,51281967,-4515799.3386,2747092.4706,-84.2898,33.7748,14325,332.8006
